TEAM,NAME,POSITION,YEAR,STARS
Duke,DaQuan Johnson,S,2,7
Duke,Jaylen Stinson,S,2,7
Duke,Placide Djungu-Sungu,S,1,6
Duke,Dylan Merrell,S,1,6
Duke,Jake Marwede,TE,4,7
Duke,Matt Smith,TE,3,6
Duke,Nicky Dalmolin,TE,2,6
Duke,Cole Finney,TE,1,6
Duke,Jake Bobo,WR,4,7
Duke,Darrell Harding,WR,3,7
Duke,Jalon Calhoun,WR,3,7
Duke,Eli Pancol,WR,3,7
Duke,Jarett Garner,WR,3,7
Duke,Jontavis Robertson,WR,2,7
Duke,Malik Bowen-Sims,WR,2,7
East Carolina,JaQuan McMillian,CB,3,7
East Carolina,Malik Fleming,CB,3,6
East Carolina,Nolan Johnson,CB,3,6
East Carolina,Damel Hickman,CB,3,6
East Carolina,Jayden Chalmers,CB,1,6
East Carolina,Sean Tucker,CB,1,6
East Carolina,Xavier Smith,DL,3,7
East Carolina,Rick DAbreu,DL,3,6
East Carolina,DAngelo McKinnie,DL,3,6
East Carolina,Jeremy Lewis,DL,3,6
East Carolina,DAnta Johnson,DL,2,6
East Carolina,Elijah Morris,DL,2,6
East Carolina,Chad Stephens,DL,2,6
East Carolina,Xavier McIver,DL,2,6
East Carolina,Immanuel Hickman,DL,2,6
East Carolina,Jasiyah Robinson,DL,1,6
East Carolina,JVian McCray,DL,1,6
East Carolina,Suirad Ware,DL,1,6
East Carolina,Jason Shuford,DL,1,6
East Carolina,Jonn Young,K,4,6
East Carolina,Luke Larsen,K,2,6
East Carolina,Owen Daffer,K,1,6
East Carolina,Myles Berry,LB,4,6
East Carolina,Bruce Bivens,LB,4,6
East Carolina,Dre Terry,LB,4,6
East Carolina,Aaron Ramseur,LB,4,6
East Carolina,Jireh Wilson,LB,3,7
East Carolina,Gerard Stringer,LB,3,6
East Carolina,Eric Doctor,LB,2,6
East Carolina,Teagan Wilk,LB,2,6
East Carolina,Jacoby Simpson,LB,2,6
East Carolina,Teylor Jackson,LB,2,6
East Carolina,Justin Chase,OL,4,6
East Carolina,Sean Bailey,OL,4,6
East Carolina,Fernando Frye,OL,4,6
East Carolina,Bailey Malovic,OL,3,6
East Carolina,Robin Vanderlaan,OL,3,6
East Carolina,Noah Henderson,OL,2,6
East Carolina,Avery Jones,OL,2,6
East Carolina,Nishad Strother,OL,2,6
East Carolina,Kyjuan Phillips,OL,1,6
East Carolina,Isaiah Foote,OL,1,6
East Carolina,Walter Stribling,OL,1,6
East Carolina,Holton Ahlers,QB,4,7
East Carolina,Alex Flinn,QB,2,6
East Carolina,Ryan Stubblefield,QB,1,6
East Carolina,Mason Garcia,QB,1,6
East Carolina,Keaton Mitchell,RB,2,7
East Carolina,Rahjai Harris,RB,2,6
East Carolina,Joseph McKay,RB,1,6
East Carolina,DJ Ford,S,4,6
East Carolina,Warren Saba,S,4,6
East Carolina,Shawn Dourseau,S,3,6
East Carolina,Demetrius Mauney,S,2,6
East Carolina,Juan Powell,S,2,6
East Carolina,David Laney,S,2,6
East Carolina,Jonathan Coleman,S,1,6
East Carolina,Aaron Jarman,TE,4,6
East Carolina,Zech Byrd,TE,4,6
East Carolina,Ryan Jones,TE,3,6
East Carolina,Shane Calhoun,TE,2,6
East Carolina,Audie Omotosho,WR,4,6
East Carolina,Tyler Snead,WR,3,7
East Carolina,Jsi Hatfield,WR,3,6
East Carolina,Maceo Donald,WR,2,6
East Carolina,CJ Johnson,WR,2,6
East Carolina,Ray Rose,WR,1,6
East Carolina,Tyler Savage,WR,1,6
East Carolina,Taji Hudson,WR,1,6
Eastern Michigan,Freddie McGee,CB,4,6
Eastern Michigan,Isaiah Watson,CB,3,6
Eastern Michigan,Jarrett Paul,CB,3,6
Eastern Michigan,Kempton Shine,CB,2,6
Eastern Michigan,Mark Lee,CB,2,5
Eastern Michigan,Cameron Smith,CB,1,5
Eastern Michigan,Turan Rush,DL,4,7
Eastern Michigan,Woo Scott,DL,4,6
Eastern Michigan,Jordan Crawford,DL,4,5
Eastern Michigan,Michael Smith,DL,4,5
Eastern Michigan,Mikey Haney,DL,3,6
Eastern Michigan,Jose Ramirez,DL,3,6
Eastern Michigan,Carter Stagner,DL,3,5
Eastern Michigan,Grant Trueman,DL,3,5
Eastern Michigan,Alex Merritt,DL,2,6
Eastern Michigan,Aaron Hamilton,DL,2,5
Eastern Michigan,Melvin Swindle,DL,1,5
Eastern Michigan,Carter Evans,DL,1,5
Eastern Michigan,Jaden Gaines,DL,1,5
Eastern Michigan,Chad Ryland,K,4,7
Eastern Michigan,Jake Julien,K,4,7
Eastern Michigan,Terry Myrick,LB,4,7
Eastern Michigan,Tariq Speights,LB,4,6
Eastern Michigan,Luke Cameron,LB,3,5
Eastern Michigan,EJ Williams,LB,3,5
Eastern Michigan,Steven Scheidt,LB,2,5
Eastern Michigan,Justin Jefferson,LB,1,5
Eastern Michigan,Sidy Sow,OL,4,7
Eastern Michigan,Mike VanHoeven,OL,4,6
Eastern Michigan,Jake Donnellon,OL,4,6
Eastern Michigan,Marcellus Johnson,OL,3,6
Eastern Michigan,Dimitri Douglas,OL,3,6
Eastern Michigan,Brian Dooley,OL,3,6
Eastern Michigan,Zackariah Kadri,OL,3,5
Eastern Michigan,Richard Bates,OL,3,5
Eastern Michigan,Alex Howie,OL,3,5
Eastern Michigan,Jimi McAdams,OL,2,5
Eastern Michigan,Broderick Jordan,OL,1,5
Eastern Michigan,Preston Hutchinson,QB,4,6
Eastern Michigan,Ben Bryant,QB,3,6
Eastern Michigan,Christopher Kaminski,QB,1,5
Eastern Michigan,Baron May,QB,1,5
Eastern Michigan,Jawon Hamilton,RB,4,6
Eastern Michigan,Samson Evans,RB,3,5
Eastern Michigan,Darius Boone,RB,1,6
Eastern Michigan,DJ Smith,RB,1,5
Eastern Michigan,Trey Bess,RB,1,5
Eastern Michigan,Alvinoski LaFleur,S,4,7
Eastern Michigan,Blake Bogan,S,4,6
Eastern Michigan,Russell Vaden,S,4,6
Eastern Michigan,Jeff Hubbard,S,4,5
Eastern Michigan,Robert Daniel,S,3,6
Eastern Michigan,TJ Peavy,S,2,6
Eastern Michigan,Kendric Nowling,S,2,6
Eastern Michigan,David Carter,S,1,5
Eastern Michigan,Bryson Cannon,TE,4,7
Eastern Michigan,Gunnar Oakes,TE,4,6
Eastern Michigan,Thomas Odukoya,TE,4,6
Eastern Michigan,Jere Getzinger,TE,2,5
Eastern Michigan,Hassan Beydoun,WR,4,7
Eastern Michigan,Dennis Smith,WR,3,6
Eastern Michigan,Dylan Drummond,WR,3,6
Eastern Michigan,IShawn Stewart,WR,3,6
Eastern Michigan,Tanner Knue,WR,2,6
Eastern Michigan,Dylan Summers,WR,2,6
Eastern Michigan,Jacob Delso,WR,1,6
Eastern Michigan,Latrell Fordham,WR,1,6
Eastern Michigan,JB Mitchell,WR,1,5
Eastern Michigan,Zach Westmoreland,WR,1,5
Florida,Kaiir Elam,CB,3,9
Florida,Ethan Pouncey,CB,1,7
Florida,Jordan Young,CB,1,7
Florida,Jason Marshall,CB,1,7
Florida,Avery Helm,CB,1,7
Florida,Zachary Carter,DL,4,8
Florida,Jeremiah Moon,DL,4,8
Florida,Antonio Valentino,DL,4,8
Florida,Daquan Newkirk,DL,4,8
Florida,Brenton Cox,DL,3,8
Florida,Khris Bogle,DL,3,8
Florida,Dante Zanders,DL,3,7
Florida,Gervon Dexter,DL,2,8
Florida,Princely Umanmielen,DL,2,7
Florida,Lloyd Summerall,DL,2,7
Florida,Jaelin Humphries,DL,2,7
Florida,Jalen Lee,DL,2,7
Florida,Tyreak Sapp,DL,1,7
Florida,Chris Howard,K,4,8
Florida,Jace Christmann,K,4,8
Florida,Jeremy Crawshaw,K,1,6
Florida,Ventrell Miller,LB,4,8
Florida,Amari Burney,LB,4,8
Florida,Lacedrick Brunson,LB,4,7
Florida,Mohamoud Diabate,LB,3,8
Florida,Derek Wingo,LB,2,7
Florida,TyRon Hopper,LB,2,7
Florida,Scooby Williams,LB,1,7
Florida,Stewart Reese,OL,4,8
Florida,Jean Delance,OL,4,8
Florida,Richard Gouraige,OL,3,8
Florida,Ethan White,OL,3,8
Florida,Will Harrod,OL,2,7
Florida,Michael Tarquin,OL,2,7
Florida,Riley Simonds,OL,2,7
Florida,Kingsley Eguakun,OL,2,7
Florida,Josh Braun,OL,2,7
Florida,Richie Leonard,OL,1,7
Florida,Gerald Mincey,OL,1,7
Florida,Emory Jones,QB,3,7
Florida,Anthony Richardson,QB,2,9
Florida,Carlos DelRio-Wilson,QB,1,7
Florida,Dameon Pierce,RB,4,8
Florida,Malik Davis,RB,4,8
Florida,Lorenzo Lingard,RB,3,7
Florida,NayQuan Wright,RB,2,7
Florida,Demarkcus Bowman,RB,1,7
Florida,Trey Dean,S,4,8
Florida,Diwun Black,S,3,8
Florida,Jadarrius Perkins,S,3,7
Florida,TreVez Johnson,S,2,8
Florida,Rashad Torrence,S,2,8
Florida,Mordecai McDaniel,S,2,7
Florida,Donovan McMillon,S,1,7
Florida,Kamar Wilcoxson,S,1,7
Florida,Corey Collier,S,1,7
Florida,Dakota Mitchell,S,1,7
Florida,Kemore Gamble,TE,4,8
Florida,Keon Zipperer,TE,3,8
Florida,Gage Wilcox,TE,1,7
Florida,Nick Elksnis,TE,1,7
Florida,Rick Wells,WR,4,7
Florida,Jacob Copeland,WR,3,8
Florida,Justin Shorter,WR,3,8
Florida,JaQuavion Fraziars,WR,2,7
Florida,JaMarkis Weston,WR,2,7
Florida,Xzavier Henderson,WR,2,7
Florida,Trent Whittemore,WR,2,7
Florida,Marcus Burke,WR,1,7
Florida Atl,Zyon Gilbert,CB,4,7
Florida Atl,Diashun Moss,CB,4,6
Florida Atl,Ashton McNeal,CB,4,6
Florida Atl,Romain Mungin,CB,2,6
Florida Atl,Jayden Williams,CB,1,6
Florida Atl,Justin McKithen,CB,1,6
Florida Atl,Ryan Veingrad,DL,4,6
Florida Atl,Marcel Southall,DL,4,6
Florida Atl,Jaylen Joyner,DL,2,7
Florida Atl,Tre Jackson,DL,2,6
Florida Atl,Malcolm Lamar,DL,2,6
Florida Atl,Decarius Hawthorne,DL,1,6
Florida Atl,Latrell Jean,DL,1,6
Florida Atl,Jaden Wheeler,DL,1,6
Florida Atl,Evan Anderson,DL,1,6
Florida Atl,Aaron Shahriari,K,3,6
Florida Atl,Matt Hayball,K,2,6
Florida Atl,Caliph Brice,LB,4,6
Florida Atl,Akileis Leroy,LB,4,6
Florida Atl,Chase Lasater,LB,3,6
Florida Atl,Eddie Williams,LB,2,6
Florida Atl,Chris Jones,LB,1,6
Florida Atl,Antarrius Moultrie,LB,1,6
Florida Atl,Diamante Howard,LB,1,6
Florida Atl,Courtney McBride,LB,1,6
Florida Atl,JaMarquis Johnson,LB,1,6
Florida Atl,Marlon Krakue,LB,1,6
Florida Atl,Desmond Noel,OL,4,6
Florida Atl,Andrew Boselli,OL,4,6
Florida Atl,Nick Weber,OL,3,7
Florida Atl,Chaz Neal,OL,3,6
Florida Atl,BJ Etienne,OL,3,6
Florida Atl,Devin Hayes,OL,2,6
Florida Atl,Marquice Robinson,OL,2,6
Florida Atl,Doug Johnson,OL,2,6
Florida Atl,Federico Maranges,OL,1,6
Florida Atl,Deshawn Richardson,OL,1,6
Florida Atl,Adarius Tolliver,OL,1,6
Florida Atl,Andre Lamas,OL,1,6
Florida Atl,Alex Atcavage,OL,1,6
Florida Atl,Kamaar Bell,OL,1,6
Florida Atl,NKosi Perry,QB,4,6
Florida Atl,Nick Tronti,QB,3,6
Florida Atl,Michael Johnson,QB,1,6
Florida Atl,Willie Taggart,QB,1,6
Florida Atl,James Charles,RB,4,6
Florida Atl,Malcolm Davidson,RB,3,6
Florida Atl,Johnny Ford,RB,2,6
Florida Atl,Larry McCammon,RB,2,6
Florida Atl,Kelvin Dean,RB,1,6
Florida Atl,Jordan Helm,S,4,6
Florida Atl,Korel Smith,S,4,6
Florida Atl,Ahman Ross,S,3,6
Florida Atl,Armani-Eli Adams,S,2,6
Florida Atl,Teja Young,S,2,6
Florida Atl,Yanez Rogers,S,2,6
Florida Atl,Dwight Toombs,S,1,6
Florida Atl,Trevor Reaves,S,1,6
Florida Atl,John Mitchell,TE,4,6
Florida Atl,Zaire MitchellPaden,TE,4,6
Florida Atl,Rahmod Smith,TE,1,6
Florida Atl,Willie Wright,WR,4,6
Florida Atl,Aaron Young,WR,4,6
Florida Atl,TJ Chase,WR,4,6
Florida Atl,Brandon Robinson,WR,3,6
Florida Atl,DMarcus Adams,WR,2,6
Florida Atl,BJ Alexander,WR,2,6
Florida Atl,LaJohntay Wester,WR,1,6
Florida Atl,Javion Posey,WR,1,6
Florida Intl,Rishard Dames,CB,4,7
Florida Intl,Josh V-Turner,CB,3,6
Florida Intl,Jesson Walker,CB,2,6
Florida Intl,Jamal Potts,CB,1,6
Florida Intl,Henry Gray,CB,1,6
Florida Intl,Kevin Oliver,DL,4,6
Florida Intl,Rashad Colson,DL,3,6
Florida Intl,Jason Mercier,DL,3,6
Florida Intl,Tevin Jones,DL,3,6
Florida Intl,David Reynolds,DL,2,6
Florida Intl,Jeremy Moore,DL,2,6
Florida Intl,Davon Strickland,DL,2,6
Florida Intl,Ty Danzy,DL,1,6
Florida Intl,Savion Collins,DL,1,6
Florida Intl,Jeramy Passmore,DL,1,6
Florida Intl,Keegan Davis,DL,1,6
Florida Intl,Tommy Heatherly,K,4,6
Florida Intl,Chase Gabriel,K,1,6
Florida Intl,Eric Mitchell,LB,4,6
Florida Intl,Josh Powell,LB,4,6
Florida Intl,Jamal Gates,LB,4,6
Florida Intl,Daniel Jackson,LB,4,6
Florida Intl,Rocky Jacques-Louis,LB,3,6
Florida Intl,Gaethan Bernadel,LB,1,6
Florida Intl,Tamarick Best,LB,1,6
Florida Intl,Chance Coleman,LB,1,6
Florida Intl,Api Mane,OL,4,6
Florida Intl,Dontae Keys,OL,4,6
Florida Intl,Logan Gunderson,OL,3,6
Florida Intl,Sione Finau,OL,2,6
Florida Intl,Rey Burnett,OL,2,6
Florida Intl,Lyndell Hudson,OL,2,6
Florida Intl,Jahmari Sylvester,OL,1,6
Florida Intl,Miles Frazier,OL,1,6
Florida Intl,Shamar Hobdy-Lee,OL,1,6
Florida Intl,Kristoff Pollas,OL,1,6
Florida Intl,Wyatt Lawson,OL,1,6
Florida Intl,Julius Pierce,OL,1,6
Florida Intl,Noah Quier,OL,1,6
Florida Intl,Max Bortenschlage,QB,4,6
Florida Intl,Kaylan Wiggins,QB,3,6
Florida Intl,Haden Carlson,QB,1,6
Florida Intl,Grayson James,QB,1,6
Florida Intl,DVonte Price,RB,4,7
Florida Intl,Maleek Williams,RB,3,6
Florida Intl,Lexington Joseph,RB,2,6
Florida Intl,Shaun Peterson,RB,2,6
Florida Intl,Katravis Geter,RB,1,6
Florida Intl,Kejon Owens,RB,1,6
Florida Intl,EJ Wilson,RB,1,6
Florida Intl,Dorian Hall,S,3,6
Florida Intl,Richard Dames,S,3,6
Florida Intl,Pierce Withers,S,3,6
Florida Intl,Benny McCray,S,3,6
Florida Intl,AJ Mathis,S,1,6
Florida Intl,Joe Perkins,S,1,6
Florida Intl,Demetrius Hill,S,1,6
Florida Intl,Sterling Palmer,TE,3,6
Florida Intl,David OMeara,TE,3,6
Florida Intl,Kamareon Williams,TE,2,6
Florida Intl,Joe Hocker,TE,1,6
Florida Intl,Rivaldo Fairweather,TE,1,6
Florida Intl,Shemar Thornton,WR,4,6
Florida Intl,Bryce Singleton,WR,3,7
Florida Intl,Randall StFelix,WR,3,6
Florida Intl,Tyrese Chambers,WR,2,7
Florida Intl,Caleb Lynum,WR,2,6
Florida Intl,Jordan Underwood,WR,2,6
Florida Intl,Nate Jefferson,WR,1,6
Florida State,Meiko Dotson,CB,4,7
Florida State,Jarrian Jones,CB,2,8
Florida State,Travis Jay,CB,1,8
Florida State,Jarvis Brownlee,CB,1,8
Florida State,Demorie Tate,CB,1,7
Florida State,Jermaine Johnson,DL,4,8
Florida State,Keir Thomas,DL,4,7
Florida State,Robert Cooper,DL,3,8
Florida State,Marcus Cushnie,DL,3,7
Florida State,Dennis Briggs,DL,2,8
Florida State,Fabien Lovett,DL,2,8
Florida State,Jarrett Jackson,DL,2,7
Florida State,Tru Thompson,DL,2,7
Florida State,Patrick Payton,DL,1,7
Florida State,Quashon Fuller,DL,1,7
Florida State,Malcolm Ray,DL,1,7
Florida State,Shambre Jackson,DL,1,7
Florida State,Ryan Fitzgerald,K,1,7
Florida State,Alex Mastromanno,K,1,7
Florida State,Emmett Rice,LB,4,8
Florida State,Amari Gainer,LB,2,8
Florida State,Cortez Andrews,LB,2,7
Florida State,Kalen DeLoach,LB,2,7
Florida State,Jaleel McRae,LB,2,7
Florida State,DJ Lundy,LB,1,8
Florida State,Stephen Dix,LB,1,8
Florida State,Jadarius GreenMcKnight,LB,1,7
Florida State,Devontay Love-Taylor,OL,4,8
Florida State,Baveon Johnson,OL,4,7
Florida State,Brady Scott,OL,3,7
Florida State,Dillan Gibbons,OL,3,7
Florida State,Jalen Goss,OL,2,7
Florida State,Robert Scott,OL,1,8
Florida State,Thomas Shrader,OL,1,7
Florida State,Darius Washington,OL,1,7
Florida State,Ira Henry,OL,1,7
Florida State,Zane Herring,OL,1,7
Florida State,Maurice Smith,OL,1,7
Florida State,Rod Orr,OL,1,7
Florida State,Lloyd Willis,OL,1,6
Florida State,McKenzie Milton,QB,4,7
Florida State,Jordan Travis,QB,2,8
Florida State,Tate Rodemaker,QB,1,7
Florida State,Jashaun Corbin,RB,2,8
Florida State,DJ Williams,RB,2,7
Florida State,Corey Wren,RB,1,7
Florida State,Trey Benson,RB,2,8
Florida State,Lawrence Toafili,RB,1,7
Florida State,Jarques McClellion,S,3,7
Florida State,Jammie Robinson,S,2,8
Florida State,Akeem Dent,S,2,7
Florida State,Brendan Gant,S,2,7
Florida State,Renardo Green,S,2,7
Florida State,Sidney Williams,S,1,7
Florida State,Kevin Knowles,S,1,7
Florida State,Shyheim Brown,S,1,6
Florida State,Jordan Wilson,TE,4,7
Florida State,Camren McDonald,TE,3,7
Florida State,Wyatt Rector,TE,2,6
Florida State,Jackson West,TE,1,7
Florida State,Andrew Parchment,WR,4,7
Florida State,Keyshawn Helton,WR,3,8
Florida State,Keon Coleman,WR,3,9
Florida State,Jordan Young,WR,2,7
Florida State,Malik McClain,WR,1,7
Florida State,Darion Williamson,WR,1,7
Florida State,JaKhi Douglas,WR,1,7
Florida State,Joshua Burrell,WR,1,7
Florida State,Kentron Poitier,WR,1,7
Fresno State,Wylan Free,CB,4,7
Fresno State,DaRon Bland,CB,4,7
Fresno State,Randy Jordan,CB,3,6
Fresno State,Bralyn Lux,CB,2,7
Fresno State,Jalen Williams,CB,1,6
Fresno State,Cale Sanders,CB,1,6
Fresno State,David Perales,DL,4,7
Fresno State,Kwami Jones,DL,4,7
Fresno State,Kevin Atkins,DL,4,7
Fresno State,Arron Mosby,DL,4,7
Fresno State,Ryan Boehm,DL,4,6
Fresno State,DaMarcus Johnson,DL,3,7
Fresno State,Leonard Payne,DL,3,7
Fresno State,Matt Lawson,DL,3,6
Fresno State,Evan Bennett,DL,2,7
Fresno State,Devo Bridges,DL,2,7
Fresno State,Julius Lewis,DL,1,6
Fresno State,Cesar Silva,K,4,7
Fresno State,Carson King,K,3,7
Fresno State,Tyson Maeva,LB,4,7
Fresno State,Levelle Bailey,LB,3,7
Fresno State,Tanner Blount,LB,2,6
Fresno State,Malachi Langley,LB,2,6
Fresno State,Tyler Mello,LB,2,6
Fresno State,Zeke Branham,LB,1,6
Fresno State,Alex Akingbulu,OL,4,7
Fresno State,Dontae Bull,OL,4,7
Fresno State,Jalen Guerrero,OL,4,7
Fresno State,Matt Smith,OL,4,7
Fresno State,Nick Abbs,OL,4,7
Fresno State,Tyrone Sampson,OL,3,7
Fresno State,Bula Schmidt,OL,3,7
Fresno State,Elijah Carson,OL,2,7
Fresno State,Dante Adkins,OL,2,7
Fresno State,Mose Vavao,OL,2,7
Fresno State,Rolan Fullwood,OL,1,6
Fresno State,Toreon Penright,OL,1,6
Fresno State,Braylen Nelson,OL,1,6
Fresno State,Jake Haener,QB,4,7
Fresno State,Jaylen Henderson,QB,1,6
Fresno State,Logan Fife,QB,1,6
Fresno State,Jordan Mims,RB,4,7
Fresno State,Ronnie Rivers,RB,4,7
Fresno State,Jevon Bigelow,RB,3,7
Fresno State,Jordan Wilmore,RB,2,7
Fresno State,Jordan Hornbeak,RB,1,6
Fresno State,Johnathan Arceneaux,RB,1,6
Fresno State,Deonte Perry,S,4,7
Fresno State,Elijah Gates,S,4,7
Fresno State,LJ Early,S,4,6
Fresno State,Evan Williams,S,3,7
Fresno State,Steven Comstock,S,3,6
Fresno State,Kosi Agina,S,2,7
Fresno State,Justin Houston,S,2,7
Fresno State,Reggie Strong,S,2,6
Fresno State,Emari Pait,S,1,6
Fresno State,Malik Brooks,S,1,6
Fresno State,Raymond Pauwels,TE,4,7
Fresno State,Juan Rodriguez,TE,4,7
Fresno State,Tre Watson,TE,1,6
Fresno State,Kamron Beachem,TE,1,6
Fresno State,Ty Jones,WR,4,7
Fresno State,Keric Wheatfall,WR,4,7
Fresno State,Zane Pope,WR,4,7
Fresno State,Jalen Cropper,WR,3,7
Fresno State,Emoryie Edwards,WR,3,7
Fresno State,Erik Brooks,WR,3,7
Fresno State,Josh Kelly,WR,2,7
Fresno State,Jordan Brown,WR,2,6
Georgia,Derion Kendrick,CB,4,8
Georgia,Ameer Speed,CB,4,7
Georgia,Nyland Green,CB,1,7
Georgia,Javon Bullard,CB,1,7
Georgia,Kamari Lassiter,CB,1,7
Georgia,Kelee Ringo,CB,1,8
Georgia,Jalen Kimber,CB,1,7
Georgia,Devonte Wyatt,DL,4,8
Georgia,Jordan Davis,DL,3,9
Georgia,Travon Walker,DL,3,9
Georgia,Tramel Walthour,DL,3,7
Georgia,Zion Logue,DL,2,7
Georgia,Warren Brinson,DL,2,7
Georgia,Jalen Carter,DL,2,8
Georgia,Nazir Stackhouse,DL,2,7
Georgia,Jake Camarda,K,4,9
Georgia,Jack Podlesny,K,3,8
Georgia,Quay Walker,LB,4,9
Georgia,Adam Anderson,LB,4,8
Georgia,Channing Tindall,LB,4,8
Georgia,Robert Beal,LB,4,7
Georgia,Nakobe Dean,LB,3,9
Georgia,Nolan Smith,LB,3,9
Georgia,MJ Sherman,LB,2,7
Georgia,Rian Davis,LB,2,7
Georgia,Xavian Sorey,LB,1,7
Georgia,Smael Mondon,LB,1,7
Georgia,Chaz Chambliss,LB,1,7
Georgia,Jamaree Salyer,OL,4,9
Georgia,Justin Shaffer,OL,4,8
Georgia,Owen Condon,OL,3,7
Georgia,Warren Ericson,OL,3,7
Georgia,Warren McClendon,OL,2,8
Georgia,Tate Ratledge,OL,2,8
Georgia,Xavier Truss,OL,2,7
Georgia,Sedrick VanPran,OL,1,7
Georgia,Devin Willock,OL,1,7
Georgia,Chad Lindberg,OL,1,7
Georgia,Amarius Mims,OL,3,8
Georgia,Broderick Jones,OL,1,7
Georgia,Stetson Bennett,QB,4,7
Georgia,JT Daniels,QB,3,8
Georgia,Carson Beck,QB,1,7
Georgia,Brock Vandagriff,QB,1,7
Georgia,James Cook,RB,4,8
Georgia,Zamir White,RB,3,8
Georgia,Kenny McIntosh,RB,3,7
Georgia,Daijun Edwards,RB,2,7
Georgia,Kendall Milton,RB,2,7
Georgia,Christopher Smith,S,4,7
Georgia,Latavious Brini,S,4,7
Georgia,Tykee Smith,S,3,9
Georgia,Lewis Cine,S,3,8
Georgia,Dan Jackson,S,2,7
Georgia,David Daniel,S,1,7
Georgia,John FitzPatrick,TE,3,7
Georgia,Darnell Washington,TE,2,7
Georgia,Brock Bowers,TE,2,9
Georgia,Kearis Jackson,WR,3,8
Georgia,George Pickens,WR,3,8
Georgia,Jaylen Johnson,WR,3,7
Georgia,Jermaine Burton,WR,2,8
Georgia,Arik Gilbert,WR,2,8
Georgia,Dominick Blaylock,WR,2,7
Georgia,Marcus R-Jacksaint,WR,2,7
Georgia,Ladd McConkey,WR,1,7
Georgia,Alex Last,WR,1,6
Georgia,Arian Smith,WR,1,7
Georgia,Justin Robinson,WR,1,7
Georgia Tech,Tobias Oliver,CB,4,7
Georgia Tech,Tre Swilling,CB,4,7
Georgia Tech,Derrik Allen,CB,3,7
Georgia Tech,Myles Sims,CB,3,7
Georgia Tech,Zamari Walton,CB,3,7
Georgia Tech,Kenan Johnson,CB,2,7
Georgia Tech,Kenyatta Watson,CB,1,7
Georgia Tech,Kaleb Edwards,CB,1,7
Georgia Tech,Djimon Brooks,DL,4,7
Georgia Tech,Antonneous Clayton,DL,4,7
Georgia Tech,Keion White,DL,3,7
Georgia Tech,Jordan Domineck,DL,3,7
Georgia Tech,JaQuon Griffin,DL,3,7
Georgia Tech,Mike Lockhart,DL,2,7
Georgia Tech,TK Chimedza,DL,2,7
Georgia Tech,Sylvain Yondjouen,DL,2,7
Georgia Tech,Jared Ivey,DL,2,7
Georgia Tech,Kevin Harris,DL,1,7
Georgia Tech,Kyle Kennard,DL,1,7
Georgia Tech,Josh Robinson,DL,1,7
Georgia Tech,Zeek Biggers,DL,1,7
Georgia Tech,Makius Scott,DL,1,7
Georgia Tech,Brent Cimaglia,K,4,7
Georgia Tech,David Shanahan,K,1,7
Georgia Tech,Quez Jackson,LB,4,7
Georgia Tech,Charlie Thomas,LB,4,7
Georgia Tech,Ayinde Eley,LB,3,7
Georgia Tech,Demetrius Knight,LB,3,7
Georgia Tech,Trenilyas Tatum,LB,1,7
Georgia Tech,Khatavian Franks,LB,1,7
Georgia Tech,Mikey Minihan,OL,4,7
Georgia Tech,Kenneth Kirby,OL,4,7
Georgia Tech,William Lay,OL,4,7
Georgia Tech,Devin Cochran,OL,4,7
Georgia Tech,Ryan Johnson,OL,4,7
Georgia Tech,Kenny Cooper,OL,4,7
Georgia Tech,Michael Maye,OL,3,7
Georgia Tech,Nick Pendley,OL,2,7
Georgia Tech,Jordan Williams,OL,2,7
Georgia Tech,Paula Vaipulu,OL,1,7
Georgia Tech,Weston Franklin,OL,1,7
Georgia Tech,Jakiah Leftwich,OL,1,7
Georgia Tech,Trad Beatty,QB,3,7
Georgia Tech,Jeff Sims,QB,2,7
Georgia Tech,Jordan Yates,QB,2,7
Georgia Tech,Chayden Peery,QB,1,6
Georgia Tech,Jordan Mason,RB,4,7
Georgia Tech,Jamious Griffin,RB,3,7
Georgia Tech,Dontae Smith,RB,3,7
Georgia Tech,Jahmyr Gibbs,RB,2,7
Georgia Tech,Juanyeh Thomas,S,4,7
Georgia Tech,Tariq Carpenter,S,4,7
Georgia Tech,Jaylon King,S,3,7
Georgia Tech,Wesley Walker,S,2,7
Georgia Tech,Miles Brooks,S,1,7
Georgia Tech,Jalen Huff,S,1,7
Georgia Tech,Dylan Leonard,TE,3,7
Georgia Tech,Dylan Deveney,TE,2,7
Georgia Tech,Billy Ward,TE,1,6
Georgia Tech,Azende Rey,WR,4,7
Georgia Tech,Kyric McGowan,WR,4,7
Georgia Tech,Malachi Carter,WR,4,7
Georgia Tech,Adonicas Sanders,WR,3,7
Georgia Tech,Peje Harris,WR,2,7
Georgia Tech,Nate McCollum,WR,2,7
Georgia Tech,Kalani Norris,WR,2,7
Georgia Tech,Leo Blackburn,WR,1,7
Georgia Tech,Avery Boyd,WR,1,7
Georgia Tech,Ryan King,WR,1,7
Hawaii,Cortez Davis,CB,4,7
Hawaii,Colby Burton,CB,4,6
Hawaii,Cameron Lockridge,CB,3,6
Hawaii,Jalen Perdue,CB,3,5
Hawaii,Michael Washington,CB,2,6
Hawaii,Von Killins,CB,2,5
Hawaii,Ty Marsh,CB,1,5
Hawaii,Pita Tonga,DL,4,6
